,1,Min,Max,Avg
Cloud Energy,2666812513.799175,2666812513.799175,2666812513.799175,2666812513.799175,
App_Cloud Energy,14903845.244321706,14903845.244321706,14903845.244321706,14903845.244321706,
Proxy Energy,166866600.0000263,166866600.0000263,166866600.0000263,166866600.0000263,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,209760413.09107533,209760413.09107533,209760413.09107533,209760413.09107533,
App_Router Energy,192597539.65227962,192597539.65227962,192597539.65227962,192597539.65227962,
Mobile Energy,169257562.37104073,169257562.37104073,169257562.37104073,169257562.37104073,
App_Mobile Energy,75278592.20833217,75278592.20833217,75278592.20833217,75278592.20833217,
Execution time,38390.0,38390.0,38390.0,38390.0,
Delay_1,5.357142857219657,5.357142857219657,5.357142857219657,5.357142857219657,
Delay_2,3.101000000013325,3.101000000013325,3.101000000013325,3.101000000013325,
MOTION_VIDEO_STREAM,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,
DETECTED_OBJECT,0.11116071417927742,0.11116071417927742,0.11116071417927742,0.11116071417927742,
OBJECT_LOCATION,1.5285714284982532,1.5285714284982532,1.5285714284982532,1.5285714284982532,
CAMERA,2.1000000000931323,2.1000000000931323,2.1000000000931323,2.1000000000931323,
Cost of execution in cloud,3987361.3412025734,3987361.3412025734,3987361.3412025734,3987361.3412025734,
Total network usage,11367.6056,11367.6056,11367.6056,11367.6056,
