,1,Min,Max,Avg
Cloud Energy,2691070080.7866225,2691070080.7866225,2691070080.7866225,2691070080.7866225,
App_Cloud Energy,141376420.71686068,141376420.71686068,141376420.71686068,141376420.71686068,
Proxy Energy,195717554.68079033,195717554.68079033,195717554.68079033,195717554.68079033,
App_Proxy Energy,129545179.40729463,129545179.40729463,129545179.40729463,129545179.40729463,
Router Energy,166866600.0000263,166866600.0000263,166866600.0000263,166866600.0000263,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169257562.37104073,169257562.37104073,169257562.37104073,169257562.37104073,
App_Mobile Energy,75278592.20833217,75278592.20833217,75278592.20833217,75278592.20833217,
Execution time,50312.0,50312.0,50312.0,50312.0,
Delay_1,107.4406428521106,107.4406428521106,107.4406428521106,107.4406428521106,
Delay_2,105.10299999996752,105.10299999996752,105.10299999996752,105.10299999996751,
MOTION_VIDEO_STREAM,2.971809523816531,2.971809523816531,2.971809523816531,2.9718095238165305,
DETECTED_OBJECT,0.27957142842933536,0.27957142842933536,0.27957142842933536,0.27957142842933536,
OBJECT_LOCATION,0.1903802015454873,0.1903802015454873,0.1903802015454873,0.1903802015454873,
CAMERA,2.1000000000931323,2.1000000000931323,2.1000000000931323,2.1000000000931323,
Cost of execution in cloud,38377836.03475195,38377836.03475195,38377836.03475195,38377836.03475195,
Total network usage,22509.25,22509.25,22509.25,22509.25,
