,1,Min,Max,Avg
Cloud Energy,2666812514.645594,2666812514.645594,2666812514.645594,2666812514.645594,
App_Cloud Energy,14903926.010750279,14903926.010750279,14903926.010750279,14903926.010750279,
Proxy Energy,210334133.97781888,210334133.97781888,210334133.97781888,210334133.97781888,
App_Proxy Energy,195173604.2000385,195173604.2000385,195173604.2000385,195173604.20003852,
Router Energy,166866600.0000263,166866600.0000263,166866600.0000263,166866600.0000263,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169257562.37104073,169257562.37104073,169257562.37104073,169257562.37104073,
App_Mobile Energy,75278592.20833217,75278592.20833217,75278592.20833217,75278592.20833217,
Execution time,45243.0,45243.0,45243.0,45243.0,
Delay_1,7.437142857035404,7.437142857035404,7.437142857035404,7.437142857035404,
Delay_2,5.101999999990949,5.101999999990949,5.101999999990949,5.101999999990949,
MOTION_VIDEO_STREAM,2.971809523816531,2.971809523816531,2.971809523816531,2.9718095238165305,
DETECTED_OBJECT,0.11116071417927742,0.11116071417927742,0.11116071417927742,0.11116071417927742,
OBJECT_LOCATION,1.5285714284982532,1.5285714284982532,1.5285714284982532,1.5285714284982532,
CAMERA,2.1000000000931323,2.1000000000931323,2.1000000000931323,2.1000000000931323,
Cost of execution in cloud,3987362.541202573,3987362.541202573,3987362.541202573,3987362.541202573,
Total network usage,14409.5155,14409.5155,14409.5155,14409.5155,
