,1,Min,Max,Avg
Cloud Energy,2666812513.84032,2666812513.84032,2666812513.84032,2666812513.84032,
App_Cloud Energy,14903849.282643136,14903849.282643136,14903849.282643136,14903849.282643134,
Proxy Energy,181550804.28277114,181550804.28277114,181550804.28277114,181550804.28277114,
App_Proxy Energy,65935116.140156545,65935116.140156545,65935116.140156545,65935116.140156545,
Router Energy,195335047.08604032,195335047.08604032,195335047.08604032,195335047.08604035,
App_Router Energy,127827633.6508161,127827633.6508161,127827633.6508161,127827633.6508161,
Mobile Energy,169257562.37104073,169257562.37104073,169257562.37104073,169257562.37104073,
App_Mobile Energy,75278592.20833217,75278592.20833217,75278592.20833217,75278592.20833217,
Execution time,33015.0,33015.0,33015.0,33015.0,
Delay_1,7.360642852032449,7.360642852032449,7.360642852032449,7.360642852032449,
Delay_2,5.101999999990949,5.101999999990949,5.101999999990949,5.101999999990949,
MOTION_VIDEO_STREAM,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,
DETECTED_OBJECT,0.11116071417927742,0.11116071417927742,0.11116071417927742,0.11116071417927742,
OBJECT_LOCATION,1.5293389415011749,1.5293389415011749,1.5293389415011749,1.5293389415011749,
CAMERA,2.1000000000931323,2.1000000000931323,2.1000000000931323,2.1000000000931323,
Cost of execution in cloud,3987361.4012025734,3987361.4012025734,3987361.4012025734,3987361.401202573,
Total network usage,11529.6007,11529.6007,11529.6007,11529.6007,
