,1,2,3,4,5,6,7,8,9,10,Min,Max,Avg
Cloud Energy,800043664.3773389,800041869.5255665,800035161.4380641,800045312.6559181,800047983.2791334,800041592.179132,800049387.9273467,800036291.9844888,800052480.213057,800051600.0684178,800035161.4380641,800052480.213057,800044415.4416319,
Proxy Energy,54614321.00072088,54613579.63735768,54613575.51486085,54614457.964514256,54615077.82344634,54614014.34911781,54615142.32617748,54613921.44620922,54615672.08741064,54615021.14253679,54613575.51486085,54615672.08741064,54614502.57455196,
Router Energy,58600635.567200795,58600635.567200795,58600635.567200795,58600635.567200795,58600635.567200795,58600635.567200795,58600635.567200795,58600635.567200795,58600635.567200795,58600635.567200795,58600635.567200795,58600635.567200795,58600635.56720079,
Mobile Energy,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124144,
Execution time,10311.0,10314.0,10868.0,12511.0,12674.0,12506.0,12321.0,12065.0,12351.0,12049.0,10311.0,12674.0,11746.25,
Delay_1,7.407100977589971,7.407026802887519,7.406856784469081,7.407142648770886,7.407222657438596,7.407053472443434,7.407306416512411,7.40676719142964,7.407317667731464,7.407393925992692,7.40676719142964,7.407393925992692,7.407112471890669,
Delay_2,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,
MOTION_VIDEO_STREAM,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,
DETECTED_OBJECT,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,
OBJECT_LOCATION,1.534885117892797,1.5348850873483268,1.5349339102549986,1.53488508213001,1.53488508213001,1.5350315665049759,1.5723942374412803,1.5348864172740526,1.5348851179015282,1.5723850821214613,1.53488508213001,1.5723942374412803,1.5442780017142275,
CAMERA,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,
Cost of execution in cloud,1196081.1429368425,1193536.5429361765,1184026.3429361016,1198417.9429370337,1202204.1429372428,1193143.342937012,1204195.5429372976,1185629.1429358027,1208579.542937717,1207331.7429378196,1184026.3429361016,1208579.542937717,1197145.9429369054,
Total network usage,11507.589,11466.449,11430.749,11528.329,11553.489,11486.509,11568.449,11426.329,11596.329,11591.909,11426.329,11596.329,11514.899,
