,1,Min,Max,Avg
Cloud Energy,800045173.7005597,800045173.7005597,800045173.7005597,800045173.7005597,
Proxy Energy,54617670.36770735,54617670.36770735,54617670.36770735,54617670.36770735,
Router Energy,58600635.567200795,58600635.567200795,58600635.567200795,58600635.5672008,
Mobile Energy,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,
Execution time,10104.0,10104.0,10104.0,10104.0,
Delay_1,7.4071484827363445,7.4071484827363445,7.4071484827363445,7.407148482736344,
Delay_2,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,
MOTION_VIDEO_STREAM,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,
DETECTED_OBJECT,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,
OBJECT_LOCATION,1.535904761963563,1.535904761963563,1.535904761963563,1.535904761963563,
CAMERA,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,
Cost of execution in cloud,1198220.9429368798,1198220.9429368798,1198220.9429368798,1198220.9429368798,
Total network usage,11524.929,11524.929,11524.929,11524.928999999998,
