,1,Min,Max,Avg
Cloud Energy,800039728.061334,800039728.061334,800039728.061334,800039728.061334,
Proxy Energy,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,
Router Energy,62928233.89436079,62928233.89436079,62928233.89436079,62928233.89436079,
Mobile Energy,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,
Execution time,11378.0,11378.0,11378.0,11378.0,
Delay_1,5.357142857149299,5.357142857149299,5.357142857149299,5.357142857149299,
Delay_2,3.1099999999954613,3.1099999999954613,3.1099999999954613,3.1099999999954613,
MOTION_VIDEO_STREAM,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,
DETECTED_OBJECT,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,
OBJECT_LOCATION,1.5285714286146685,1.5285714286146685,1.5285714286146685,1.5285714286146685,
CAMERA,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,
Cost of execution in cloud,1190500.5429371167,1190500.5429371167,1190500.5429371167,1190500.5429371167,
Total network usage,11312.625333333333,11312.625333333333,11312.625333333333,11312.625333333335,
