,1,Min,Max,Avg
Cloud Energy,808227522.9636362,808227522.9636362,808227522.9636362,808227522.963636,
Proxy Energy,60264319.631706655,60264319.631706655,60264319.631706655,60264319.631706655,
Router Energy,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,
Mobile Energy,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,
Execution time,13931.0,13931.0,13931.0,13931.0,
Delay_1,108.20703553613845,108.20703553613845,108.20703553613845,108.20703553613845,
Delay_2,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000905,
MOTION_VIDEO_STREAM,3.103809523768723,3.103809523768723,3.103809523768723,3.103809523768723,
DETECTED_OBJECT,0.09954278048681003,0.09954278048681003,0.09954278048681003,0.09954278048681003,
OBJECT_LOCATION,0.1966190476354502,0.1966190476354502,0.1966190476354502,0.1966190476354502,
CAMERA,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,
Cost of execution in cloud,12798513.567135287,12798513.567135287,12798513.567135287,12798513.567135287,
Total network usage,22424.166666666668,22424.166666666668,22424.166666666668,22424.166666666668,
