,1,2,3,4,5,Min,Max,Avg
Cloud Energy,13335760.177551039,13336994.411479605,13336532.40255104,13335372.090051034,13337235.784693899,13335372.090051034,13337235.784693899,13336357.534438793,
Proxy Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999988,
Router Energy,1048958.374600002,1048958.374600002,1048958.374600002,1048958.374600002,1048958.374600002,1048958.374600002,1048958.374600002,1048958.3746000023,
Mobile Energy,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.3710000421,
Execution time,557.0,550.0,505.0,494.0,512.0,494.0,557.0,524.1428571428571,
Delay_1,5.357142857143817,5.357142857143817,5.357142857143817,5.357142857143817,5.357142857143817,5.357142857143817,5.357142857143817,5.357142857143818,
Delay_2,3.110000000000363,3.110000000000363,3.110000000000363,3.110000000000363,3.110000000000363,3.110000000000363,3.110000000000363,3.1100000000003627,
MOTION_VIDEO_STREAM,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,
DETECTED_OBJECT,0.1111607142865978,0.1111607142865978,0.1111607142865978,0.1111607142865978,0.1111607142865978,0.1111607142865978,0.1111607142865978,0.1111607142865978,
OBJECT_LOCATION,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,
CAMERA,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,
Cost of execution in cloud,22343.542857167107,24093.34285716708,23438.3428571701,21793.342857163454,24435.54285717562,21793.342857163454,24435.54285717562,23190.42857145463,
Total network usage,10779.52,10738.32,11289.12,10840.32,11574.72,10738.32,11574.72,11076.434285714287,
