,1,2,3,4,5,Min,Max,Avg
Cloud Energy,80829693.83511603,80825867.07511592,80825188.29583006,80825979.5372585,80825716.241545,80825188.29583006,80829693.83511603,80826761.0165445,
Proxy Energy,6026450.712111056,6026450.712111056,6026450.712111056,6026450.712111056,6026450.712111056,6026450.712111056,6026450.712111056,6026450.712111056,
Router Energy,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,
Mobile Energy,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,
Execution time,1737.0,1754.0,1864.0,1791.0,1809.0,1737.0,1864.0,1793.7142857142858,
Delay_1,108.20757947454882,108.20778420422117,108.20707809575669,108.20650568830341,108.20732042883952,108.20650568830341,108.20778420422117,108.20722254059919,
Delay_2,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,105.13000000000056,
MOTION_VIDEO_STREAM,3.103809523808013,3.103809523808013,3.103809523808013,3.103809523808013,3.103809523808013,3.103809523808013,3.103809523808013,3.1038095238080134,
DETECTED_OBJECT,0.17625376299150192,0.1097028369057599,0.1262178484849273,0.12989343547819054,0.06982097887005699,0.06982097887005699,0.17625376299150192,0.12256622922742795,
OBJECT_LOCATION,0.19661901212782518,0.1966101442233622,0.19661904762324398,0.19661904762321095,0.19501957775687417,0.19501957775687417,0.19661904762324398,0.19616077924780492,
CAMERA,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,
Cost of execution in cloud,1289692.5257291908,1284267.2457292178,1283304.925729122,1284426.685729174,1284053.4057291504,1283304.925729122,1289692.5257291908,1285534.605729167,
Total network usage,22745.0,22578.333333333332,22428.333333333332,22345.0,22491.666666666668,22345.0,22745.0,22525.476190476187,
