,1,2,3,4,5,Min,Max,Avg
Cloud Energy,80005906.39361908,80012056.12040448,80005556.8186193,80005696.76147638,80013141.38290483,80005556.8186193,80013141.38290483,80008722.2397926,
Proxy Energy,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,
Router Energy,6292964.774602732,6292964.774602732,6292964.774602732,6292964.774602732,6292964.774602732,6292964.774602732,6292964.774602732,6292964.774602733,
Mobile Energy,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,
Execution time,1608.0,1758.0,1776.0,1672.0,1596.0,1596.0,1776.0,1683.142857142857,
Delay_1,5.357142857137827,5.357142857137827,5.357142857137827,5.357142857137827,5.357142857137827,5.357142857137827,5.357142857137827,5.357142857137826,
Delay_2,3.1099999999995496,3.1099999999995496,3.1099999999995496,3.1099999999995496,3.1099999999995496,3.1099999999995496,3.1099999999995496,3.109999999999549,
MOTION_VIDEO_STREAM,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,
DETECTED_OBJECT,0.11116071428841678,0.11116071428841678,0.11116071428841678,0.11116071428841678,0.11116071428841678,0.11116071428841678,0.11116071428841678,0.11116071428841678,
OBJECT_LOCATION,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,
CAMERA,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,
Cost of execution in cloud,121791.34285829926,130509.94285845794,121295.74285828488,121494.14285826967,132048.5428584189,121295.74285828488,132048.5428584189,125783.4285726335,
Total network usage,11310.72,11834.253333333334,11232.453333333333,11252.853333333333,11365.12,11232.453333333333,11834.253333333334,11437.44380952381,
