,1,Min,Max,Avg
Cloud Energy,80005405.75127248,80005405.75127248,80005405.75127248,80005405.75127248,
Proxy Energy,6440337.609427644,6440337.609427644,6440337.609427644,6440337.609427643,
Router Energy,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,
Mobile Energy,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,
Execution time,1345634.0,1345634.0,1345634.0,1345634.0,
Delay_1,1282.5179388821732,1282.5179388821732,1282.5179388821732,1282.5179388821732,
Delay_2,5.12000000000009,5.12000000000009,5.12000000000009,5.12000000000009,
MOTION_VIDEO_STREAM,2264.9032937613606,2264.9032937613606,2264.9032937613606,2264.9032937613606,
DETECTED_OBJECT,0.11116071428841678,0.11116071428841678,0.11116071428841678,0.11116071428841678,
OBJECT_LOCATION,4.701982989482745,4.701982989482745,4.701982989482745,4.701982989482745,
CAMERA,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,
Cost of execution in cloud,121081.57142970618,121081.57142970618,121081.57142970618,121081.57142970618,
Total network usage,14267.183333333332,14267.183333333332,14267.183333333332,14267.183333333332,
