,1,Min,Max,Avg
Cloud Energy,80007969.97787972,80007969.97787972,80007969.97787972,80007969.97787972,
Proxy Energy,6440337.609428457,6440337.609428457,6440337.609428457,6440337.609428457,
Router Energy,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,
Mobile Energy,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,
Execution time,2194.0,2194.0,2194.0,2194.0,
Delay_1,25.619750378295763,25.619750378295763,25.619750378295763,25.619750378295763,
Delay_2,5.12000000000009,5.12000000000009,5.12000000000009,5.12000000000009,
MOTION_VIDEO_STREAM,19.54781641752561,19.54781641752561,19.54781641752561,19.54781641752561,
DETECTED_OBJECT,0.11116071428841678,0.11116071428841678,0.11116071428841678,0.11116071428841678,
OBJECT_LOCATION,9.874382545323208,9.874382545323208,9.874382545323208,9.874382545323208,
CAMERA,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,
Cost of execution in cloud,124716.93067168567,124716.93067168567,124716.93067168567,124716.93067168567,
Total network usage,14510.516666666666,14510.516666666666,14510.516666666666,14510.516666666668,
