,1,2,3,4,5,Min,Max,Avg
Cloud Energy,15320077.152059352,15324090.06519239,15321575.329685843,15320170.39767538,15319480.560279327,15319480.560279327,15324090.06519239,15321280.590052,
Proxy Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999988,
Router Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999988,
Mobile Energy,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.3710000421,
Execution time,2984.0,3020.0,3015.0,3014.0,3081.0,2984.0,3081.0,3025.5714285714284,
Delay_1,1183.2042920997874,1183.2045780917704,1183.226251078021,1183.2261209589324,1183.2260662477802,1183.2042920997874,1183.226251078021,1183.2168359505856,
Delay_2,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.1300000000007,
MOTION_VIDEO_STREAM,0.10849658319107253,0.11808791719620611,0.07656970046295429,0.06657546083013519,0.07656970046146858,0.06657546083013519,0.11808791719620611,0.09013753430973973,
DETECTED_OBJECT,0.053322746015253504,0.027075344523564814,0.11100571408425002,0.056616153365144264,0.048481320312525715,0.027075344523564814,0.11100571408425002,0.06208319098693616,
OBJECT_LOCATION,0.10625012551498166,0.13392906699793572,0.09196428571408138,0.05892857145232726,0.09196428571357847,0.05892857145232726,0.13392906699793572,0.09655628197759535,
CAMERA,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,
Cost of execution in cloud,5671104.836150873,5682483.222756871,5675352.833471388,5671369.228783584,5669413.2341409065,5669413.2341409065,5682483.222756871,5674517.116028772,
Total network usage,1044811.24,1044811.24,1044811.24,1044811.24,1044811.24,1044811.24,1044811.24,1044811.2400000001,
