,1,Min,Max,Avg
Cloud Energy,2734317.787142841,2734317.787142841,2734317.787142841,2734317.787142841,
App_Cloud Energy,554112.5557142599,554112.5557142599,554112.5557142599,554112.5557142599,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,279.0,279.0,279.0,279.0,
Delay_1,104.77857142857323,104.77857142857323,104.77857142857323,104.77857142857323,
Delay_2,105.10299999999991,105.10299999999991,105.10299999999991,105.10299999999991,
MOTION_VIDEO_STREAM,0.2932380952381209,0.2932380952381209,0.2932380952381209,0.2932380952381209,
DETECTED_OBJECT,0.27857142857146755,0.27857142857146755,0.27857142857146755,0.27857142857146755,
OBJECT_LOCATION,0.1893061501833862,0.1893061501833862,0.1893061501833862,0.18930615018338623,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,99691.03999999451,99691.03999999451,99691.03999999451,99691.03999999451,
Total network usage,161520.0,161520.0,161520.0,161520.0,
