,1,Min,Max,Avg
Cloud Energy,2734317.787142841,2734317.787142841,2734317.787142841,2734317.787142841,
App_Cloud Energy,554112.5557142599,554112.5557142599,554112.5557142599,554112.5557142599,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,213.0,213.0,213.0,213.0,
Delay_1,104.77857142857323,104.77857142857323,104.77857142857323,104.77857142857323,
Delay_2,105.10299999999991,105.10299999999991,105.10299999999991,105.10299999999991,
MOTION_VIDEO_STREAM,0.2932380952381209,0.2932380952381209,0.2932380952381209,0.2932380952381209,
DETECTED_OBJECT,0.27857142857146755,0.27857142857146755,0.27857142857146755,0.27857142857146755,
OBJECT_LOCATION,0.1893061501833862,0.1893061501833862,0.1893061501833862,0.18930615018338623,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,99691.03999999451,99691.03999999451,99691.03999999451,99691.03999999451,
Total network usage,161520.0,161520.0,161520.0,161520.0,
Network usage-based energy,32304000000.0,32304000000.0,32304000000.0,32304000000.0,
UpLink energy of mobile device 12,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
UpLink energy of mobile device 15,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
UpLink energy of mobile device 9,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
UpLink energy of mobile device 6,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
DownLink energy of mobile device 12,3601.799999999999,3601.799999999999,3601.799999999999,3601.799999999999,
DownLink energy of mobile device 15,3601.799999999999,3601.799999999999,3601.799999999999,3601.799999999999,
DownLink energy of mobile device 9,3601.799999999999,3601.799999999999,3601.799999999999,3601.799999999999,
DownLink energy of mobile device 6,3601.799999999999,3601.799999999999,3601.799999999999,3601.799999999999,
Total link energy of device Id : 12,89181.80000000002,89181.80000000002,89181.80000000002,89181.8,
Total link energy of device Id : 15,89181.80000000002,89181.80000000002,89181.80000000002,89181.8,
Total link energy of device Id : 9,89181.80000000002,89181.80000000002,89181.80000000002,89181.8,
Total link energy of device Id : 6,89181.80000000002,89181.80000000002,89181.80000000002,89181.8,
Uplink energy of Proxy 4,15523104.0,15523104.0,15523104.0,15523104.0,
Downlink energy of Proxy 4,190001.90000000005,190001.90000000005,190001.90000000005,190001.90000000005,
Total link energy of Proxy 4,15713105.899999995,15713105.899999995,15713105.899999995,15713105.899999997,
Uplink energy of Router 5,313504.0,313504.0,313504.0,313504.0,
Downlink energy of Router 5,3601.799999999999,3601.799999999999,3601.799999999999,3601.799999999999,
Total link energy of Router 5,317105.8,317105.8,317105.8,317105.8,
