,1,Min,Max,Avg
Cloud Energy,2669181.936479594,2669181.936479594,2669181.936479594,2669181.936479594,
App_Cloud Energy,263152.8739795898,263152.8739795898,263152.8739795898,263152.8739795898,
Proxy Energy,210475.1730340032,210475.1730340032,210475.1730340032,210475.1730340032,
App_Proxy Energy,195806.88375142918,195806.88375142918,195806.88375142918,195806.88375142918,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,224.0,224.0,224.0,224.0,
Delay_1,7.437142857143002,7.437142857143002,7.437142857143002,7.437142857143002,
Delay_2,5.101999999999925,5.101999999999925,5.101999999999925,5.101999999999925,
MOTION_VIDEO_STREAM,2.971809523809452,2.971809523809452,2.971809523809452,2.9718095238094526,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,1.5285714285714675,1.5285714285714675,1.5285714285714675,1.5285714285714675,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,7346.542857142045,7346.542857142045,7346.542857142045,7346.542857142045,
Total network usage,13925.5,13925.5,13925.5,13925.5,
Network usage-based energy,2785100000.0,2785100000.0,2785100000.0,2785100000.0,
UpLink energy of mobile device 12,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
UpLink energy of mobile device 15,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
UpLink energy of mobile device 9,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
UpLink energy of mobile device 6,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
DownLink energy of mobile device 12,3801.8999999999987,3801.8999999999987,3801.8999999999987,3801.899999999999,
DownLink energy of mobile device 15,3801.8999999999987,3801.8999999999987,3801.8999999999987,3801.899999999999,
DownLink energy of mobile device 9,3801.8999999999987,3801.8999999999987,3801.8999999999987,3801.899999999999,
DownLink energy of mobile device 6,3801.8999999999987,3801.8999999999987,3801.8999999999987,3801.899999999999,
Total link energy of device Id : 12,89381.90000000002,89381.90000000002,89381.90000000002,89381.90000000002,
Total link energy of device Id : 15,89381.90000000002,89381.90000000002,89381.90000000002,89381.90000000002,
Total link energy of device Id : 9,89381.90000000002,89381.90000000002,89381.90000000002,89381.90000000002,
Total link energy of device Id : 6,89381.90000000002,89381.90000000002,89381.90000000002,89381.90000000002,
Uplink energy of Router 5,313504.0,313504.0,313504.0,313504.0,
Downlink energy of Router 5,3801.8999999999987,3801.8999999999987,3801.8999999999987,3801.899999999999,
Total link energy of Router 5,317305.9,317305.9,317305.9,317305.9,
