,1,Min,Max,Avg
Cloud Energy,2669181.936479594,2669181.936479594,2669181.936479594,2669181.936479594,
App_Cloud Energy,263152.8739795898,263152.8739795898,263152.8739795898,263152.8739795898,
Proxy Energy,210475.1730340032,210475.1730340032,210475.1730340032,210475.1730340032,
App_Proxy Energy,195806.88375142918,195806.88375142918,195806.88375142918,195806.88375142918,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,188.0,188.0,188.0,188.0,
Delay_1,7.437142857143002,7.437142857143002,7.437142857143002,7.437142857143002,
Delay_2,5.101999999999925,5.101999999999925,5.101999999999925,5.101999999999925,
MOTION_VIDEO_STREAM,2.971809523809452,2.971809523809452,2.971809523809452,2.9718095238094526,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,1.5285714285714675,1.5285714285714675,1.5285714285714675,1.5285714285714675,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,7346.542857142045,7346.542857142045,7346.542857142045,7346.542857142045,
Total network usage,13925.5,13925.5,13925.5,13925.5,
