,1,Min,Max,Avg
Cloud Energy,3251543.6528569595,3251543.6528569595,3251543.6528569595,3251543.6528569595,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,4402.0,4402.0,4402.0,4402.0,
Delay_1,110.2029555517688,110.2029555517688,110.2029555517688,110.2029555517688,
Delay_2,105.11199999999992,105.11199999999992,105.11199999999992,105.11199999999992,
MOTION_VIDEO_STREAM,4.1885709635390285,4.1885709635390285,4.1885709635390285,4.1885709635390285,
DETECTED_OBJECT,0.041875210358691836,0.041875210358691836,0.041875210358691836,0.04187521035869183,
OBJECT_LOCATION,1.2860637940476103,1.2860637940476103,1.2860637940476103,1.2860637940476103,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,832973.2799996579,832973.2799996579,832973.2799996579,832973.2799996579,
Total network usage,2582873.4,2582873.4,2582873.4,2582873.4,
