,1,Min,Max,Avg
Cloud Energy,2835825.8464286695,2835825.8464286695,2835825.8464286695,2835825.8464286695,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,167342.0330000001,167342.0330000001,167342.0330000001,167342.0330000001,
Execution time,405.0,405.0,405.0,405.0,
Delay_1,108.03310810810788,108.03310810810788,108.03310810810788,108.0331081081079,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,0.12264607747384708,0.12264607747384708,0.12264607747384708,0.12264607747384708,
DETECTED_OBJECT,0.10560224089627167,0.10560224089627167,0.10560224089627167,0.10560224089627167,
OBJECT_LOCATION,0.10913042873157591,0.10913042873157591,0.10913042873157591,0.10913042873157591,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,243601.2000000655,243601.2000000655,243601.2000000655,243601.2000000655,
Total network usage,320975.8,320975.8,320975.8,320975.8,
