,1,Min,Max,Avg
Cloud Energy,2826850.8821427114,2826850.8821427114,2826850.8821427114,2826850.8821427114,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,172104.74599999972,172104.74599999972,172104.74599999972,172104.74599999972,
Execution time,447.0,447.0,447.0,447.0,
Delay_1,105.25312500000142,105.25312500000142,105.25312500000142,105.25312500000142,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,0.15214285714275017,0.15214285714275017,0.15214285714275017,0.15214285714275017,
DETECTED_OBJECT,0.14464285714279868,0.14464285714279868,0.14464285714279868,0.14464285714279868,
OBJECT_LOCATION,0.13559796288179227,0.13559796288179227,0.13559796288179227,0.13559796288179227,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,230877.200000024,230877.200000024,230877.200000024,230877.20000002402,
Total network usage,269272.0,269272.0,269272.0,269272.0,
