,1,Min,Max,Avg
Cloud Energy,2759656.303571246,2759656.303571246,2759656.303571246,2759656.303571246,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,172091.0029999997,172091.0029999997,172091.0029999997,172091.0029999997,
Execution time,262.0,262.0,262.0,262.0,
Delay_1,105.06696428571288,105.06696428571288,105.06696428571288,105.0669642857129,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,0.1595238095236861,0.1595238095236861,0.1595238095236861,0.1595238095236861,
DETECTED_OBJECT,0.14464285714279868,0.14464285714279868,0.14464285714279868,0.14464285714279868,
OBJECT_LOCATION,0.12993629108893254,0.12993629108893254,0.12993629108893254,0.12993629108893254,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,135613.99999997462,135613.99999997462,135613.99999997462,135613.99999997462,
Total network usage,134684.4,134684.4,134684.4,134684.4,
