,1,Min,Max,Avg
Cloud Energy,"13,333,073.531",13333073.531229,13333073.531229,13333073.531229
Proxy Energy,"1,073,390.000",1073390.00000006,1073390.00000006,1073390.00000006
Router Energy,"834,333.000",834332.999999999,834332.999999999,834332.999999999
Mobile Energy,"846,449.371",846449.371000042,846449.371000042,846449.371000042
Execution time,"21,494,613.000",21494613,21494613,21494613
Delay_1,"3,108.302",3108.30216346957,3108.30216346957,3108.30216346957
Delay_2,5.120,5.12000000000054,5.12000000000054,5.12000000000054
MOTION_VIDEO_STREAM,"6,113.756",6113.75614812756,6113.75614812756,6113.75614812756
DETECTED_OBJECT,0.111,0.111160714286598,0.111160714286598,0.111160714286598
OBJECT_LOCATION,5.898,5.89803446868099,5.89803446868099,5.89803446868099
CAMERA,2.100,2.10000000000036,2.10000000000036,2.10000000000036
Cost of execution in cloud,"18,534.627",18534.6265524832,18534.6265524832,18534.6265524832
Total network usage,"18,684.220",18684.22,18684.22,18684.22
