,1,2,3,4,5,Min,Max,Avg
Cloud Energy,96404344.1223459,96406279.3274496,96403752.1715155,96405366.893508,96403940.6316078,"96,403,752.172","96,406,279.327","96,404,816.378"
Proxy Energy,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,"5,005,998.000","5,005,998.000","5,005,998.000"
Router Energy,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,"5,005,998.000","5,005,998.000","5,005,998.000"
Mobile Energy,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,"5,077,884.371","5,077,884.371","5,077,884.371"
Execution time,15881,17419,19363,19301,19221,"15,881.000","19,363.000","18,061.286"
Delay_1,6652.01176054359,6652.03362884937,6652.01174977608,6652.03362998947,6652.01173985633,"6,652.012","6,652.034","6,652.021"
Delay_2,105.130000000001,105.130000000001,105.130000000001,105.130000000001,105.130000000001,105.130,105.130,105.130
MOTION_VIDEO_STREAM,0.155952380955569,0.12261904762272,0.155952381067549,0.12261904762272,0.156422064598353,0.123,0.156,0.142
DETECTED_OBJECT,0.108935459958889,0.112410410525774,0.159043096070057,0.108772515375659,0.188221720026013,0.109,0.188,0.139
OBJECT_LOCATION,0.151829481121762,0.103571428900718,0.151785714116288,0.103572790959983,0.151088164320661,0.104,0.152,0.131
CAMERA,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.100,2.100,2.100
Cost of execution in cloud,23370209.3882981,23372952.9702175,23369370.1668692,23371659.392986,23369637.3507973,"23,369,370.167","23,372,952.970","23,370,878.915"
Total network usage,1050278.54,1050278.54,1050278.54,1050278.54,1050278.54,"1,050,278.540","1,050,278.540","1,050,278.540"
