,1,Min,Max,Avg
Cloud Energy,2782833.492857059,2782833.492857059,2782833.492857059,2782833.492857059,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,370.0,370.0,370.0,370.0,
Delay_1,104.94658967391202,104.94658967391202,104.94658967391202,104.94658967391202,
Delay_2,105.11199999999992,105.11199999999992,105.11199999999992,105.11199999999992,
MOTION_VIDEO_STREAM,0.5882521008399422,0.5882521008399422,0.5882521008399422,0.5882521008399422,
DETECTED_OBJECT,0.15952380952376188,0.15952380952376188,0.15952380952376188,0.15952380952376188,
OBJECT_LOCATION,0.13398547417679124,0.13398547417679124,0.13398547417679124,0.13398547417679124,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,168472.79999995034,168472.79999995034,168472.79999995034,168472.79999995034,
Total network usage,322945.0,322945.0,322945.0,322945.0,
