,1,Min,Max,Avg
Cloud Energy,2818264.8114796137,2818264.8114796137,2818264.8114796137,2818264.8114796137,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,209917.35060000105,209917.35060000105,209917.35060000105,209917.35060000105,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,740.0,740.0,740.0,740.0,
Delay_1,5.357142857143411,5.357142857143411,5.357142857143411,5.357142857143411,
Delay_2,3.1099999999999564,3.1099999999999564,3.1099999999999564,3.1099999999999564,
MOTION_VIDEO_STREAM,2.9571428571427987,2.9571428571427987,2.9571428571427987,2.9571428571427987,
DETECTED_OBJECT,0.07309838935572913,0.07309838935572913,0.07309838935572913,0.07309838935572913,
OBJECT_LOCATION,1.5285714285714675,1.5285714285714675,1.5285714285714675,1.5285714285714675,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,218704.5428571397,218704.5428571397,218704.5428571397,218704.5428571397,
Total network usage,88096.8,88096.8,88096.8,88096.8,
