,1,Min,Max,Avg
Cloud Energy,2693491.30217351,2693491.30217351,2693491.30217351,2693491.30217351,
Proxy Energy,195907.2443600031,195907.2443600031,195907.2443600031,195907.24436000307,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,237.0,237.0,237.0,237.0,
Delay_1,107.44063740755074,107.44063740755074,107.44063740755074,107.44063740755074,
Delay_2,105.11199999999992,105.11199999999992,105.11199999999992,105.11199999999992,
MOTION_VIDEO_STREAM,2.971809523809452,2.971809523809452,2.971809523809452,2.9718095238094526,
DETECTED_OBJECT,0.2795714285714439,0.2795714285714439,0.2795714285714439,0.2795714285714439,
OBJECT_LOCATION,0.19038020170226716,0.19038020170226716,0.19038020170226716,0.1903802017022672,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,41810.453714272684,41810.453714272684,41810.453714272684,41810.453714272684,
Total network usage,21760.0,21760.0,21760.0,21760.0,
