,1,Min,Max,Avg
Cloud Energy,3169988.228571987,3169988.228571987,3169988.228571987,3169988.228571987,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,910.0,910.0,910.0,910.0,
Delay_1,308.2789889895599,308.2789889895599,308.2789889895599,308.2789889895599,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,0.12312128024075752,0.12312128024075752,0.12312128024075752,0.12312128024075752,
DETECTED_OBJECT,0.21071428571463002,0.21071428571463002,0.21071428571463002,0.21071428571463002,
OBJECT_LOCATION,0.10446428656593226,0.10446428656593226,0.10446428656593226,0.10446428656593226,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,717350.4000002043,717350.4000002043,717350.4000002043,717350.4000002043,
Total network usage,1018584.2,1018584.2,1018584.2,1018584.1999999998,
