,1,Min,Max,Avg
Cloud Energy,2724200.2571427547,2724200.2571427547,2724200.2571427547,2724200.2571427547,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,175.0,175.0,175.0,175.0,
Delay_1,105.06696428571473,105.06696428571473,105.06696428571473,105.06696428571473,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,0.17440476190457352,0.17440476190457352,0.17440476190457352,0.17440476190457352,
DETECTED_OBJECT,0.14464285714279868,0.14464285714279868,0.14464285714279868,0.14464285714279868,
OBJECT_LOCATION,0.12976207506105875,0.12976207506105875,0.12976207506105875,0.12976207506105875,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,85347.19999998521,85347.19999998521,85347.19999998521,85347.19999998521,
Total network usage,80808.4,80808.4,80808.4,80808.4,
