,1,2,3,4,5,6,7,8,9,10,Min,Max,Avg
Cloud Energy,14271806.990887927,14271806.990887927,14271806.990887927,14271806.990887927,14271806.990887927,14271806.990887927,14271806.990887927,14271806.990887927,14271806.990887927,14271806.990887927,14271806.990887927,14271806.990887927,14271806.99088793,
Proxy Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,
Router Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,
Mobile Energy,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.461000038,845945.4610000382,
Execution time,1547.0,1682.0,1585.0,1848.0,1788.0,1973.0,2347.0,2263.0,2219.0,2282.0,1547.0,2347.0,1952.3333333333333,
Delay_1,105.10773242630457,105.10773242630457,105.10773242630457,105.10773242630457,105.10773242630457,105.10773242630457,105.10773242630457,105.10773242630457,105.10773242630457,105.10773242630457,105.10773242630457,105.10773242630457,105.1077324263046,
Delay_2,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,
MOTION_VIDEO_STREAM,0.1445945399128858,0.1445945399128858,0.1445945399128858,0.1445945399128858,0.1445945399128858,0.1445945399128858,0.1445945399128858,0.1445945399128858,0.1445945399128858,0.1445945399128858,0.1445945399128858,0.1445945399128858,0.14459453991288582,
DETECTED_OBJECT,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.1460722257836702,
OBJECT_LOCATION,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.14607222578367024,0.1460722257836702,
CAMERA,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,
Cost of execution in cloud,1349397.25290296,1349397.25290296,1349397.25290296,1349397.25290296,1349397.25290296,1349397.25290296,1349397.25290296,1349397.25290296,1349397.25290296,1349397.25290296,1349397.25290296,1349397.25290296,1349397.2529029602,
Total network usage,132563.08,132563.08,132563.08,132563.08,132563.08,132563.08,132563.08,132563.08,132563.08,132563.08,132563.08,132563.08,132563.08000000002,
