,1,Min,Max,Avg
Cloud Energy,2694613531.3608937,2694613531.3608937,2694613531.3608937,2694613531.3608937,
App_Cloud Energy,159866768.63488653,159866768.63488653,159866768.63488653,159866768.63488653,
Proxy Energy,166866600.0000263,166866600.0000263,166866600.0000263,166866600.0000263,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,166866600.0000263,166866600.0000263,166866600.0000263,166866600.0000263,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,174780577.03160474,174780577.03160474,174780577.03160474,174780577.03160474,
App_Smartphone_1 Energy,170254913.0754775,170254913.0754775,170254913.0754775,170254913.0754775,
Smartphone_2 Energy,174780397.22744027,174780397.22744027,174780397.22744027,174780397.22744027,
App_Smartphone_2 Energy,170251821.07833463,170251821.07833463,170251821.07833463,170251821.07833463,
Smartphone_3 Energy,174780217.42284822,174780217.42284822,174780217.42284822,174780217.42284822,
App_Smartphone_3 Energy,170248729.08088034,170248729.08088034,170248729.08088034,170248729.08088034,
Smartphone_4 Energy,174780037.6182093,174780037.6182093,174780037.6182093,174780037.6182093,
App_Smartphone_4 Energy,170245637.08322814,170245637.08322814,170245637.08322814,170245637.08322814,
Execution time,34499.0,34499.0,34499.0,34499.0,
Delay_1,229.8563839506286,229.8563839506286,229.8563839506286,229.8563839506286,
PLAYER_GAME_STATE,0.18928571417927742,0.18928571417927742,0.18928571417927742,0.18928571417927742,
EEG,229.8563839506286,7.9654744912309265,7.9654744912309265,229.8563839506286,118.91092922092977,
CONCENTRATION,1.882181388062457,1.882181388062457,1.882181388062457,1.882181388062457,
SENSOR,0.4299705879379291,0.4299705879379291,0.4299705879379291,0.42997058793792914,
GLOBAL_GAME_STATE,0.14866666661885877,0.14866666661885877,0.14866666661885877,0.14866666661885877,
Cost of execution in cloud,43401462.20000825,43401462.20000825,43401462.20000825,43401462.20000825,
Total network usage,44717.064,44717.064,44717.064,44717.06399999999,
