,1,Min,Max,Avg
Cloud Energy,2665390534.0752616,2665390534.0752616,2665390534.0752616,2665390534.0752616,
App_Cloud Energy,7506406.3650384005,7506406.3650384005,7506406.3650384005,7506406.3650384,
Proxy Energy,166866600.0000263,166866600.0000263,166866600.0000263,166866600.0000263,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,166866600.0000263,166866600.0000263,166866600.0000263,166866600.0000263,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,175059931.49922246,175059931.49922246,175059931.49922246,175059931.49922246,
App_Smartphone_1 Energy,175058822.02170244,175058822.02170244,175058822.02170244,175058822.02170244,
Smartphone_2 Energy,175059931.49934113,175059931.49934113,175059931.49934113,175059931.49934113,
App_Smartphone_2 Energy,175058822.02182114,175058822.02182114,175058822.02182114,175058822.02182114,
Smartphone_3 Energy,175059931.49933067,175059931.49933067,175059931.49933067,175059931.49933067,
App_Smartphone_3 Energy,175058822.02181068,175058822.02181068,175058822.02181068,175058822.02181068,
Smartphone_4 Energy,175059931.49926955,175059931.49926955,175059931.49926955,175059931.49926955,
App_Smartphone_4 Energy,175058822.02174956,175058822.02174956,175058822.02174956,175058822.02174956,
Execution time,28759.0,28759.0,28759.0,28759.0,
Delay_1,27.36448445927598,27.36448445927598,27.36448445927598,27.36448445927598,
PLAYER_GAME_STATE,0.19661904751944045,0.19661904751944045,0.19661904751944045,0.19661904751944045,
EEG,27.36448445927598,10.0,10.0,27.36448445927598,18.682242229637993,
CONCENTRATION,0.15599999996092445,0.15599999996092445,0.15599999996092445,0.15599999996092445,
SENSOR,9.899999999906868,9.899999999906868,9.899999999906868,9.899999999906868,
GLOBAL_GAME_STATE,0.24959999991891285,0.24959999991891285,0.24959999991891285,0.24959999991891282,
Cost of execution in cloud,1971390.0798162671,1971390.0798162671,1971390.0798162671,1971390.0798162671,
Total network usage,5359.726,5359.726,5359.726,5359.726,
