,1,Min,Max,Avg
Cloud Energy,2665389870.4733863,2665389870.4733863,2665389870.4733863,2665389870.4733863,
App_Cloud Energy,7502945.565038431,7502945.565038431,7502945.565038431,7502945.565038431,
Proxy Energy,166866600.0000263,166866600.0000263,166866600.0000263,166866600.0000263,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,192442120.77798513,192442120.77798513,192442120.77798513,192442120.77798513,
App_Router Energy,114838338.05720983,114838338.05720983,114838338.05720983,114838338.05720983,
Smartphone_1 Energy,174294000.967288,174294000.967288,174294000.967288,174294000.967288,
App_Smartphone_1 Energy,161887525.47594655,161887525.47594655,161887525.47594655,161887525.47594655,
Smartphone_2 Energy,174294000.83993614,174294000.83993614,174294000.83993614,174294000.83993614,
App_Smartphone_2 Energy,161887523.28766686,161887523.28766686,161887523.28766686,161887523.28766686,
Smartphone_3 Energy,174294000.712925,174294000.712925,174294000.712925,174294000.712925,
App_Smartphone_3 Energy,161887521.09958756,161887521.09958756,161887521.09958756,161887521.09958756,
Smartphone_4 Energy,174826836.36389422,174826836.36389422,174826836.36389422,174826836.36389422,
App_Smartphone_4 Energy,171050410.00800538,171050410.00800538,171050410.00800538,171050410.00800538,
Execution time,23572.0,23572.0,23572.0,23572.0,
Delay_1,26.147815234104154,26.147815234104154,26.147815234104154,26.147815234104154,
PLAYER_GAME_STATE,0.19661904751944045,0.19661904751944045,0.19661904751944045,0.19661904751944045,
EEG,26.147815234104154,3.1796666496278077,3.1796666496278077,26.147815234104154,14.663740941865981,
CONCENTRATION,6.250333348910038,6.250333348910038,6.250333348910038,6.250333348910037,
SENSOR,5.1183333330166825,5.1183333330166825,5.1183333330166825,5.1183333330166825,
GLOBAL_GAME_STATE,0.14866666661885877,0.14866666661885877,0.14866666661885877,0.14866666661885877,
Cost of execution in cloud,1970449.2798162752,1970449.2798162752,1970449.2798162752,1970449.2798162752,
Total network usage,7279.662,7279.662,7279.662,7279.662,
