,1,Min,Max,Avg
Cloud Energy,3228060.2821428264,3228060.2821428264,3228060.2821428264,3228060.282142827,
App_Cloud Energy,3147721.653571396,3147721.653571396,3147721.653571396,3147721.6535713957,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,174715.91599999976,174715.91599999976,174715.91599999976,174715.91599999976,
App_Smartphone_1 Energy,169142.9719999995,169142.9719999995,169142.9719999995,169142.9719999995,
Smartphone_2 Energy,174571.70612000106,174571.70612000106,174571.70612000106,174571.70612000106,
App_Smartphone_2 Energy,166663.0720400004,166663.0720400004,166663.0720400004,166663.0720400004,
Smartphone_3 Energy,174715.91599999872,174715.91599999872,174715.91599999872,174715.91599999872,
App_Smartphone_3 Energy,169142.97199999864,169142.97199999864,169142.97199999864,169142.97199999864,
Smartphone_4 Energy,174715.9160000004,174715.9160000004,174715.9160000004,174715.9160000004,
App_Smartphone_4 Energy,169142.9720000002,169142.9720000002,169142.9720000002,169142.9720000002,
Execution time,270.0,270.0,270.0,270.0,
Delay_1,226.66062481870713,226.66062481870713,226.66062481870713,226.66062481870713,
PLAYER_GAME_STATE,0.303890984636361,0.303890984636361,0.303890984636361,0.303890984636361,
EEG,226.66062481870713,3.6807144116112567,3.6807144116112567,226.66062481870713,115.1706696151592,
CONCENTRATION,0.32367296298688075,0.32367296298688075,0.32367296298688075,0.32367296298688075,
SENSOR,2.350705518998238,2.350705518998238,2.350705518998238,2.350705518998238,
GLOBAL_GAME_STATE,0.05600000000004002,0.05600000000004002,0.05600000000004002,0.05600000000004002,
Cost of execution in cloud,799680.4000000007,799680.4000000007,799680.4000000007,799680.4000000007,
Total network usage,82755.5,82755.5,82755.5,82755.5,
