,1,Min,Max,Avg
Cloud Energy,3246768.0867346916,3246768.0867346916,3246768.0867346916,3246768.0867346916,
App_Cloud Energy,3246768.0867346916,3246768.0867346916,3246768.0867346916,3246768.0867346916,
Proxy Energy,207069.60116300246,207069.60116300246,207069.60116300246,207069.60116300246,
App_Proxy Energy,182115.05870428839,182115.05870428839,182115.05870428839,182115.05870428836,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Smartphone_1 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_1 Energy,0.0,0.0,0.0,0.0,
Smartphone_2 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_2 Energy,0.0,0.0,0.0,0.0,
Smartphone_3 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_3 Energy,0.0,0.0,0.0,0.0,
Smartphone_4 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_4 Energy,0.0,0.0,0.0,0.0,
Execution time,231.0,231.0,231.0,231.0,
Delay_1,226.3367410714274,226.3367410714274,226.3367410714274,226.33674107142738,
PLAYER_GAME_STATE,2.149962888445037,2.149962888445037,2.149962888445037,2.149962888445037,
EEG,226.3367410714274,3.7080952380952112,3.7080952380952112,226.3367410714274,115.02241815476131,
CONCENTRATION,0.09466666666668667,0.09466666666668667,0.09466666666668667,0.09466666666668667,
SENSOR,1.2449999999998909,1.2449999999998909,1.2449999999998909,1.2449999999998909,
GLOBAL_GAME_STATE,0.05000076293940765,0.05000076293940765,0.05000076293940765,0.05000076293940766,
Cost of execution in cloud,826202.8571428702,826202.8571428702,826202.8571428702,826202.8571428702,
Total network usage,82620.0,82620.0,82620.0,82620.0,
