,1,Min,Max,Avg
Cloud Energy,2667580.3928571437,2667580.3928571437,2667580.3928571437,2667580.3928571437,
App_Cloud Energy,273179.5714285723,273179.5714285723,273179.5714285723,273179.5714285723,
Proxy Energy,214168.1499635733,214168.1499635733,214168.1499635733,214168.1499635733,
App_Proxy Energy,214078.16119000188,214078.16119000188,214078.16119000188,214078.16119000188,
Router Energy,214152.0745999977,214152.0745999977,214152.0745999977,214152.0745999977,
App_Router Energy,213819.53330428342,213819.53330428342,213819.53330428342,213819.53330428342,
Smartphone_1 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_1 Energy,0.0,0.0,0.0,0.0,
Smartphone_2 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_2 Energy,0.0,0.0,0.0,0.0,
Smartphone_3 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_3 Energy,0.0,0.0,0.0,0.0,
Smartphone_4 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_4 Energy,0.0,0.0,0.0,0.0,
Execution time,276.0,276.0,276.0,276.0,
Delay_1,29.840069799906782,29.840069799906782,29.840069799906782,29.840069799906782,
PLAYER_GAME_STATE,0.12232142857146755,0.12232142857146755,0.12232142857146755,0.12232142857146755,
EEG,29.840069799906782,5.0,5.0,29.840069799906782,17.420034899953393,
CONCENTRATION,0.08999999999997878,0.08999999999997878,0.08999999999997878,0.08999999999997878,
SENSOR,5.0,5.0,5.0,5.0,
GLOBAL_GAME_STATE,0.15000000000009073,0.15000000000009073,0.15000000000009073,0.15000000000009073,
Cost of execution in cloud,5076.00000000022,5076.00000000022,5076.00000000022,5076.00000000022,
Total network usage,8908.0,8908.0,8908.0,8908.0,
