,1,Min,Max,Avg
Cloud Energy,3246811.2545918333,3246811.2545918333,3246811.2545918333,3246811.2545918333,
App_Cloud Energy,3246811.2545918333,3246811.2545918333,3246811.2545918333,3246811.2545918333,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,208045.46598800144,208045.46598800144,208045.46598800144,208045.46598800144,
App_Router Energy,186400.24577856786,186400.24577856786,186400.24577856786,186400.24577856786,
Smartphone_1 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_1 Energy,0.0,0.0,0.0,0.0,
Smartphone_2 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_2 Energy,0.0,0.0,0.0,0.0,
Smartphone_3 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_3 Energy,0.0,0.0,0.0,0.0,
Smartphone_4 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_4 Energy,0.0,0.0,0.0,0.0,
Execution time,231.0,231.0,231.0,231.0,
Delay_1,226.73173038046784,226.73173038046784,226.73173038046784,226.73173038046784,
PLAYER_GAME_STATE,1.3552546909872887,1.3552546909872887,1.3552546909872887,1.3552546909872885,
EEG,226.73173038046784,4.9999999999807185,4.9999999999807185,226.73173038046784,115.86586519022428,
CONCENTRATION,0.11666666666649629,0.11666666666649629,0.11666666666649629,0.11666666666649629,
SENSOR,1.012089843749803,1.012089843749803,1.012089843749803,1.012089843749803,
GLOBAL_GAME_STATE,0.05000076293940765,0.05000076293940765,0.05000076293940765,0.05000076293940766,
Cost of execution in cloud,826264.0571428708,826264.0571428708,826264.0571428708,826264.0571428708,
Total network usage,82634.0,82634.0,82634.0,82634.0,
