,1,Min,Max,Avg
Cloud Energy,2668875.992857143,2668875.992857143,2668875.992857143,2668875.992857143,
App_Cloud Energy,279936.3714285723,279936.3714285723,279936.3714285723,279936.3714285723,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,214479.3094820018,214479.3094820018,214479.3094820018,214479.3094820018,
App_Router Energy,213785.85956857319,213785.85956857319,213785.85956857319,213785.85956857319,
Smartphone_1 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_1 Energy,0.0,0.0,0.0,0.0,
Smartphone_2 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_2 Energy,0.0,0.0,0.0,0.0,
Smartphone_3 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_3 Energy,0.0,0.0,0.0,0.0,
Smartphone_4 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_4 Energy,0.0,0.0,0.0,0.0,
Execution time,169.0,169.0,169.0,169.0,
Delay_1,39.675518796992336,39.675518796992336,39.675518796992336,39.675518796992336,
PLAYER_GAME_STATE,0.12232142857146755,0.12232142857146755,0.12232142857146755,0.12232142857146755,
EEG,39.675518796992336,5.814285714285688,5.814285714285688,39.675518796992336,22.744902255639012,
CONCENTRATION,4.085714285663244,4.085714285663244,4.085714285663244,4.085714285663244,
SENSOR,19.90000000000009,19.90000000000009,19.90000000000009,19.90000000000009,
GLOBAL_GAME_STATE,3.7498895263674137,3.7498895263674137,3.7498895263674137,3.7498895263674137,
Cost of execution in cloud,6912.800000000218,6912.800000000218,6912.800000000218,6912.800000000218,
Total network usage,3926.0,3926.0,3926.0,3926.0,
