,1,Min,Max,Avg
Cloud Energy,2667580.3928571437,2667580.3928571437,2667580.3928571437,2667580.3928571437,
App_Cloud Energy,273179.5714285723,273179.5714285723,273179.5714285723,273179.5714285723,
Proxy Energy,191419.24190785666,191419.24190785666,191419.24190785666,191419.24190785666,
App_Proxy Energy,112035.43671856988,112035.43671856988,112035.43671856988,112035.43671856988,
Router Energy,182730.08101000197,182730.08101000197,182730.08101000197,182730.08101000197,
App_Router Energy,72850.80871857179,72850.80871857179,72850.80871857179,72850.80871857179,
Smartphone_1 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_1 Energy,0.0,0.0,0.0,0.0,
Smartphone_2 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_2 Energy,0.0,0.0,0.0,0.0,
Smartphone_3 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_3 Energy,0.0,0.0,0.0,0.0,
Smartphone_4 Energy,164880.0,164880.0,164880.0,164880.0,
App_Smartphone_4 Energy,0.0,0.0,0.0,0.0,
Execution time,196.0,196.0,196.0,196.0,
Delay_1,27.34285714285657,27.34285714285657,27.34285714285657,27.34285714285657,
PLAYER_GAME_STATE,0.12232142857146755,0.12232142857146755,0.12232142857146755,0.12232142857146755,
EEG,27.34285714285657,2.9571428571427987,2.9571428571427987,27.34285714285657,15.149999999999686,
CONCENTRATION,0.06733333333336304,0.06733333333336304,0.06733333333336304,0.06733333333336304,
SENSOR,4.4223809523809905,4.4223809523809905,4.4223809523809905,4.4223809523809905,
GLOBAL_GAME_STATE,0.10999999999990018,0.10999999999990018,0.10999999999990018,0.10999999999990018,
Cost of execution in cloud,5076.00000000022,5076.00000000022,5076.00000000022,5076.00000000022,
Total network usage,5440.0,5440.0,5440.0,5440.0,
