,1,Min,Max,Avg
Cloud Energy,2732979625.2451553,2732979625.2451553,2732979625.2451553,2732979625.2451553,
App_Cloud Energy,359929234.8356019,359929234.8356019,359929234.8356019,359929234.835602,
Proxy Energy,166866600.0000263,166866600.0000263,166866600.0000263,166866600.0000263,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,166866600.0000263,166866600.0000263,166866600.0000263,166866600.0000263,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169257562.37104073,169257562.37104073,169257562.37104073,169257562.37104073,
App_Mobile Energy,75278592.20833217,75278592.20833217,75278592.20833217,75278592.20833217,
Execution time,64969.0,64969.0,64969.0,64969.0,
Delay_1,104.77857142711194,104.77857142711194,104.77857142711194,104.77857142711194,
Delay_2,105.10299999996752,105.10299999996752,105.10299999996752,105.10299999996751,
MOTION_VIDEO_STREAM,0.2932380951785793,0.2932380951785793,0.2932380951785793,0.2932380951785793,
DETECTED_OBJECT,0.2785714284982532,0.2785714284982532,0.2785714284982532,0.2785714284982532,
OBJECT_LOCATION,0.18930615007698293,0.18930615007698293,0.18930615007698293,0.18930615007698293,
CAMERA,2.1000000000931323,2.1000000000931323,2.1000000000931323,2.1000000000931323,
Cost of execution in cloud,97793899.0364841,97793899.0364841,97793899.0364841,97793899.0364841,
Total network usage,166505.01,166505.01,166505.01,166505.01,
