,1,Min,Max,Avg
Cloud Energy,2691550356.5277934,2691550356.5277934,2691550356.5277934,2691550356.5277934,
App_Cloud Energy,143881054.08074543,143881054.08074543,143881054.08074543,143881054.08074543,
Proxy Energy,166866600.0000263,166866600.0000263,166866600.0000263,166866600.0000263,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,195335047.08604032,195335047.08604032,195335047.08604032,195335047.08604035,
App_Router Energy,127827633.6508161,127827633.6508161,127827633.6508161,127827633.6508161,
Mobile Energy,169257562.37104073,169257562.37104073,169257562.37104073,169257562.37104073,
App_Mobile Energy,75278592.20833217,75278592.20833217,75278592.20833217,75278592.20833217,
Execution time,47509.0,47509.0,47509.0,47509.0,
Delay_1,107.36259284774162,107.36259284774162,107.36259284774162,107.36259284774162,
Delay_2,105.10299999996752,105.10299999996752,105.10299999996752,105.10299999996751,
MOTION_VIDEO_STREAM,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,
DETECTED_OBJECT,0.27957142842933536,0.27957142842933536,0.27957142842933536,0.27957142842933536,
OBJECT_LOCATION,0.1904126722797284,0.1904126722797284,0.1904126722797284,0.19041267227972844,
CAMERA,2.1000000000931323,2.1000000000931323,2.1000000000931323,2.1000000000931323,
Cost of execution in cloud,39058733.292113386,39058733.292113386,39058733.292113386,39058733.292113386,
Total network usage,19629.3352,19629.3352,19629.3352,19629.3352,
