,1,2,3,4,5,6,7,8,9,10,Min,Max,Avg
Cloud Energy,829832400.4079314,829830757.6582453,829834107.3484743,829830028.5836105,829835706.4094815,829831979.8675623,829835955.1162137,829835461.227337,829834445.4813905,829833756.5598757,829830028.5836105,829835955.1162137,829833381.8633288,
Proxy Energy,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,
Router Energy,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,
Mobile Energy,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124144,
Execution time,20650.0,26286.0,26312.0,26027.0,25484.0,25603.0,25843.0,25594.0,26091.0,26331.0,20650.0,26331.0,25100.166666666668,
Delay_1,105.25362869655774,105.2536415433542,105.25364846357806,105.25364127717066,105.25364276182944,105.25363835962088,105.25365143693207,105.25363813261777,105.25363231798868,105.2536398372052,105.25362869655774,105.25365143693207,105.2536402466954,
Delay_2,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000905,
MOTION_VIDEO_STREAM,0.1596428571579357,0.159642839698028,0.1596428571579357,0.1596483070903883,0.1596428571579357,0.1596428784519331,0.16103803986746545,0.1597300560772813,0.15964287844673436,0.1596428571579292,0.159642839698028,0.16103803986746545,0.159883108985755,
DETECTED_OBJECT,0.22289264807670486,0.15258002120615238,0.14276308812407545,0.19474946408666724,0.13772656969346922,0.16999595439645127,0.17828204693141647,0.18387402605070885,0.15051169399843772,0.12064650172074676,0.12064650172074676,0.22289264807670486,0.16646343034019015,
OBJECT_LOCATION,0.13559523810011645,0.13559523086064254,0.1467561226598693,0.13559796306894273,0.13594401042167495,0.14117560589205114,0.1362929146043739,0.13563883758057804,0.13559533389400835,0.1411783203614209,0.13559523086064254,0.1467561226598693,0.13847674424701584,
CAMERA,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,
Cost of execution in cloud,43428213.24052353,43425884.278930284,43430633.20683594,43424850.65415312,43432900.23003863,43427617.031381264,43433252.82692,43432552.63004008,43431112.58517365,43430135.886289895,43424850.65415312,43433252.82692,43429604.67094663,
Total network usage,166493.36666666667,166493.36666666667,166493.36666666667,166493.36666666667,166493.36666666667,166493.36666666667,166493.36666666667,166493.36666666667,166493.36666666667,166493.36666666667,166493.36666666667,166493.36666666667,166493.36666666667,
