,1,2,3,4,5,6,7,8,9,10,Min,Max,Avg
Cloud Energy,800045664.669651,800042145.2196463,800050296.3267993,800040929.9612962,800045487.3428669,800045865.2386816,800049382.7482276,800049290.1362932,800049852.164866,800036492.0642935,800036492.0642935,800050296.3267993,800045182.8553096,
Proxy Energy,64403397.608898826,64403397.608898826,64403397.608898826,64403397.608898826,64403397.608898826,64403397.608898826,64403397.608898826,64403397.608898826,64403397.608898826,64403397.608898826,64403397.608898826,64403397.608898826,64403397.60889884,
Router Energy,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,
Mobile Energy,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124144,
Execution time,18682.0,20507.0,21961.0,21866.0,22071.0,21823.0,21720.0,22024.0,21655.0,22057.0,18682.0,22071.0,21259.916666666668,
Delay_1,25.638586752926688,25.638586752926688,25.638586752926688,25.638586752926688,25.638586752926688,25.638586752926688,25.638586752926688,25.638586752926688,25.638586752926688,25.638586752926688,25.638586752926688,25.638586752926688,25.638586752926695,
Delay_2,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,5.120000000002243,
MOTION_VIDEO_STREAM,19.896738526118998,19.896738526118998,19.896738526118998,19.896738526118998,19.896738526118998,19.896738526118998,19.896738526118998,19.896738526118998,19.896738526118998,19.896738526118998,19.896738526118998,19.896738526118998,19.896738526119,
DETECTED_OBJECT,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,0.11116071429569274,
OBJECT_LOCATION,5.774899960841662,5.774899960841662,5.774899960841662,5.774899960841662,5.774899960841662,5.774899960841662,5.774899960841662,5.774899960841662,5.774899960841662,5.774899960841662,5.774899960841662,5.774899960841662,5.774899960841663,
CAMERA,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,
Cost of execution in cloud,1198917.0000795866,1193927.4000793097,1205483.4000802692,1192204.5021496806,1198665.6000790722,1199201.351114816,1204188.200080815,1204056.9021506875,1204853.702150626,1185912.8000789748,1185912.8000789748,1205483.4000802692,1198233.9215169235,
Total network usage,14408.718333333334,14378.051666666666,14451.051666666666,14369.385,14407.385,14412.385,14443.718333333334,14447.385,14453.385,14319.718333333334,14319.718333333334,14453.385,14405.357222222221,
