,1,Min,Max,Avg
Cloud Energy,829833438.9208593,829833438.9208593,829833438.9208593,829833438.9208593,
Proxy Energy,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,
Router Energy,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,
Mobile Energy,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,
Execution time,22333.0,22333.0,22333.0,22333.0,
Delay_1,105.25364811357547,105.25364811357547,105.25364811357547,105.25364811357547,
Delay_2,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000905,
MOTION_VIDEO_STREAM,0.14133928569984466,0.14133928569984466,0.14133928569984466,0.14133928569984466,
DETECTED_OBJECT,0.13571179319103452,0.13571179319103452,0.13571179319103452,0.13571179319103452,
OBJECT_LOCATION,0.12800731478883365,0.12800731478883365,0.12800731478883365,0.12800731478883365,
CAMERA,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,
Cost of execution in cloud,43429685.56263914,43429685.56263914,43429685.56263914,43429685.56263914,
Total network usage,166493.36666666667,166493.36666666667,166493.36666666667,166493.36666666667,
