,1,Min,Max,Avg
Cloud Energy,808241864.3979591,808241864.3979591,808241864.3979591,808241864.3979591,
Proxy Energy,50059979.999993004,50059979.999993004,50059979.999993004,50059979.999993004,
Router Energy,58600635.567200795,58600635.567200795,58600635.567200795,58600635.5672008,
Mobile Energy,50777382.37124143,50777382.37124143,50777382.37124143,50777382.37124143,
Execution time,13821.0,13821.0,13821.0,13821.0,
Delay_1,107.43991564040296,107.43991564040296,107.43991564040296,107.43991564040296,
Delay_2,105.13000000000906,105.13000000000906,105.13000000000906,105.13000000000905,
MOTION_VIDEO_STREAM,2.957142857136205,2.957142857136205,2.957142857136205,2.957142857136205,
DETECTED_OBJECT,0.14130332848383706,0.14130332848383706,0.14130332848383706,0.14130332848383706,
OBJECT_LOCATION,0.19361263022380115,0.19361263022380115,0.19361263022380115,0.19361263022380115,
CAMERA,2.099999999976717,2.099999999976717,2.099999999976717,2.099999999976717,
Cost of execution in cloud,12818845.72713246,12818845.72713246,12818845.72713246,12818845.72713246,
Total network usage,19643.424,19643.424,19643.424,19643.424,
