,1,2,3,4,5,Min,Max,Avg
Cloud Energy,15139332.841696825,15134126.45341341,15133266.504657606,15135424.604980297,15131515.79453087,15131515.79453087,15139332.841696825,15134930.690786673,
Proxy Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999988,
Router Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999988,
Mobile Energy,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.3710000421,
Execution time,1807.0,1805.0,1874.0,1943.0,1896.0,1805.0,1943.0,1867.5714285714287,
Delay_1,106.44259059592365,106.44254065338757,106.44257820427615,106.44258534994528,106.44256529910989,106.44254065338757,106.44259059592365,106.44257019313625,
Delay_2,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.1300000000007,
MOTION_VIDEO_STREAM,0.12264607764569091,0.12262991651336506,0.12264607847910497,0.12264607805336979,0.12264607788704472,0.12262991651336506,0.12264607847910497,0.12264146051014935,
DETECTED_OBJECT,0.19918617659691856,0.1584706208769358,0.13178084049028038,0.14286286183916333,0.11595674665147286,0.11595674665147286,0.19918617659691856,0.1519143099575946,
OBJECT_LOCATION,0.10355006557146038,0.10352635351040307,0.10355008222342911,0.10363725920857235,0.10355006594237846,0.10352635351040307,0.10363725920857235,0.10356820559645984,
CAMERA,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,
Cost of execution in cloud,2579307.3198665474,2571926.1111609535,2570706.9433045723,2573766.5285721067,2568224.92388447,2568224.92388447,2579307.3198665474,2573066.295791381,
Total network usage,661665.12,661665.12,661665.12,661665.12,661665.12,661665.12,661665.12,661665.12,
