,1,2,3,4,5,Min,Max,Avg
Cloud Energy,16425835.8869898,13349614.2584184,13350562.1173469,16425725.8512755,13349262.7084183,13349262.7084183,16425835.8869898,14668014.202551
Proxy Energy,834332.999999999,834332.999999999,834332.999999999,834332.999999999,834332.999999999,834332.999999999,834332.999999999,834332.999999999
Router Energy,946707.54852001,946707.54852001,946707.54852001,946707.54852001,946707.54852001,946707.54852001,946707.54852001,946707.54852001
Mobile Energy,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042
Execution time,812,792,767,768,781,767,812,785.571428571429
Delay_1,3.92857142857211,3.92857142857211,3.92857142857211,3.92857142857211,3.92857142857211,3.92857142857211,3.92857142857211,3.92857142857211
Delay_2,3.11000000000036,3.11000000000036,3.11000000000036,3.11000000000036,3.11000000000036,3.11000000000036,3.11000000000036,3.11000000000036
MOTION_VIDEO_STREAM,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101
DETECTED_OBJECT,12.6348238475329,0.111160714286598,0.111160714286598,9.50816165719269,0.111160714286598,0.111160714286598,12.6348238475329,5.03177888705783
OBJECT_LOCATION,0.814285714286598,0.814285714286598,0.814285714286598,0.814285714286598,0.814285714286598,0.814285714286598,0.814285714286598,0.814285714286598
CAMERA,2.10000000000036,2.10000000000036,2.10000000000036,2.10000000000036,2.10000000000036,2.10000000000036,2.10000000000036,2.10000000000036
Cost of execution in cloud,4403210.37142857,41984.7714286208,43328.5714286209,4403054.37142858,41486.3714286209,41486.3714286209,4403210.37142857,1911108.74285717
Total network usage,23557.44,22251.84,22823.04,23108.64,22170.24,22170.24,23557.44,22805.5542857143
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,3076221.62857143,,,,,,,
