,1,2,3,4,5,Min,Max,Avg
Cloud Energy,16426804.040051,13378296.7400511,13376716.3168368,13387320.3739796,13385424.6561225,"13,376,716.317","16,426,804.040","14,251,154.641"
Proxy Energy,834332.999999999,834332.999999999,834332.999999999,834332.999999999,834332.999999999,"834,333.000","834,333.000","834,333.000"
Router Energy,1048545.83052,1048545.83052,1048545.83052,1048545.83052,1048545.83052,"1,048,545.831","1,048,545.831","1,048,545.831"
Mobile Energy,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,"846,449.371","846,449.371","846,449.371"
Execution time,1218,1203,1139,1234,1199,"1,139.000","1,234.000","1,195.143"
Delay_1,5.35714285714608,5.35714285714608,5.35714285714608,5.35714285714608,5.35714285714608,5.357,5.357,5.357
Delay_2,3.11000000000036,3.11000000000036,3.11000000000036,3.11000000000036,3.11000000000036,3.110,3.110,3.110
MOTION_VIDEO_STREAM,2.95714285714348,2.95714285714348,2.95714285714348,2.95714285714348,2.95714285714348,2.957,2.957,2.957
DETECTED_OBJECT,6.32117330044113,0.111160714286598,0.111160714286598,0.111160714286598,0.111160714286598,.111,6.321,1.885
OBJECT_LOCATION,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.529,1.529,1.529
CAMERA,2.10000000000036,2.10000000000036,2.10000000000036,2.10000000000036,2.10000000000036,2.100,2.100,2.100
Cost of execution in cloud,4404582.94285715,82648.542857241,80407.9428572379,95441.5428572391,92753.9428572549,"80,407.943","4,404,582.943","1,320,117.971"
Total network usage,45871.28,45523.68,44728.48,45320.08,46075.68,"44,728.480","46,075.680","45,474.766"
