,1,Min,Max,Avg
Cloud Energy,80007485.52067383,80007485.52067383,80007485.52067383,80007485.52067383,
Proxy Energy,6141716.789848118,6141716.789848118,6141716.789848118,6141716.789848118,
Router Energy,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,
Mobile Energy,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,
Execution time,1729.0,1729.0,1729.0,1729.0,
Delay_1,7.405263157884318,7.405263157884318,7.405263157884318,7.405263157884318,
Delay_2,5.12000000000009,5.12000000000009,5.12000000000009,5.12000000000009,
MOTION_VIDEO_STREAM,2.351929824556282,2.351929824556282,2.351929824556282,2.351929824556282,
DETECTED_OBJECT,0.11116071428841678,0.11116071428841678,0.11116071428841678,0.11116071428841678,
OBJECT_LOCATION,1.1526315789451473,1.1526315789451473,1.1526315789451473,1.1526315789451473,
CAMERA,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,
Cost of execution in cloud,124030.10526436803,124030.10526436803,124030.10526436803,124030.10526436805,
Total network usage,14487.183333333332,14487.183333333332,14487.183333333332,14487.183333333332,
