,1,2,3,4,5,Min,Max,Avg
Cloud Energy,3007807.4357144427,3007807.4357144427,3007807.4357144427,3007807.4357144427,3007807.4357144427,3007807.4357144427,3007807.4357144427,3007807.4357144427,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,613.0,638.0,594.0,645.0,628.0,594.0,645.0,622.4285714285714,
Delay_1,106.44180508001372,106.44180508001372,106.44180508001372,106.44180508001372,106.44180508001372,106.44180508001372,106.44180508001372,106.44180508001374,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999997,
MOTION_VIDEO_STREAM,0.12264607788628992,0.12264607788628992,0.12264607788628992,0.12264607788628992,0.12264607788628992,0.12264607788628992,0.12264607788628992,0.12264607788628991,
DETECTED_OBJECT,0.10595238095229434,0.10595238095229434,0.10595238095229434,0.10595238095229434,0.10595238095229434,0.10595238095229434,0.10595238095229434,0.10595238095229433,
OBJECT_LOCATION,0.10913042840561302,0.10913042840561302,0.10913042840561302,0.10913042840561302,0.10913042840561302,0.10913042840561302,0.10913042840561302,0.10913042840561303,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,487423.2000001612,487423.2000001612,487423.2000001612,487423.2000001612,487423.2000001612,487423.2000001612,487423.2000001612,487423.20000016125,
Total network usage,645391.4,645391.4,645391.4,645391.4,645391.4,645391.4,645391.4,645391.4,
