,1,2,3,4,5,Min,Max,Avg
Cloud Energy,16442318.128573034,16442155.614287464,16442331.671430098,16442189.471430214,16442287.657144366,16442155.614287464,16442331.671430098,16442252.832654675,
Proxy Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999988,
Router Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999988,
Mobile Energy,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.371000042,846449.3710000421,
Execution time,3697.0,3641.0,3500.0,3516.0,3615.0,3500.0,3697.0,3595.1428571428573,
Delay_1,1183.972468024381,1184.0054832033516,1183.9586939042938,1183.9819738004214,1183.9663654935027,1183.9586939042938,1184.0054832033516,1183.9784516476568,
Delay_2,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.13000000000072,105.1300000000007,
MOTION_VIDEO_STREAM,0.9247630040027989,0.9247792403084099,0.9312909226224728,0.9655952503602974,0.9311948058917222,0.9247630040027989,0.9655952503602974,0.9382830682212566,
DETECTED_OBJECT,0.14369600327722254,0.18917590699514744,0.12096991579079508,0.1510161273761687,0.1861607228426359,0.12096991579079508,0.18917590699514744,0.15730921415255888,
OBJECT_LOCATION,0.13121413339690624,0.1311578700236644,0.17387970334063452,0.1677382739082653,0.17093609213962774,0.1311578700236644,0.17387970334063452,0.15428052088191385,
CAMERA,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,
Cost of execution in cloud,2213288.800000374,2213173.600000125,2213298.4000007403,2213197.60000036,2213267.2000005054,2213173.600000125,2213298.4000007403,2213242.5142861386,
Total network usage,1044815.16,1044815.16,1044815.16,1044815.16,1044815.16,1044815.16,1044815.16,1044815.16,
