,1,2,3,4,5,Min,Max,Avg
Cloud Energy,3041272.9642854133,3041272.9642854133,3041272.9642854133,3041272.9642854133,3041272.9642854133,3041272.9642854133,3041272.9642854133,3041272.9642854137,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,905.0,1050.0,926.0,946.0,1005.0,905.0,1050.0,969.5714285714286,
Delay_1,308.2250058805639,308.2250058805639,308.2250058805639,308.2250058805639,308.2250058805639,308.2250058805639,308.2250058805639,308.2250058805639,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999997,
MOTION_VIDEO_STREAM,0.07234415766548652,0.07234415766548652,0.07234415766548652,0.07234415766548652,0.07234415766548652,0.07234415766548652,0.07234415766548652,0.07234415766548652,
DETECTED_OBJECT,0.04047619058761008,0.04047619058761008,0.04047619058761008,0.04047619058761008,0.04047619058761008,0.04047619058761008,0.04047619058761008,0.04047619058761009,
OBJECT_LOCATION,0.046386722036776545,0.046386722036776545,0.046386722036776545,0.046386722036776545,0.046386722036776545,0.046386722036776545,0.046386722036776545,0.04638672203677655,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,1069736.000000483,1069736.000000483,1069736.000000483,1069736.000000483,1069736.000000483,1069736.000000483,1069736.000000483,1069736.0000004827,
Total network usage,1018587.8,1018587.8,1018587.8,1018587.8,1018587.8,1018587.8,1018587.8,1018587.7999999999,
