,1,Min,Max,Avg
Cloud Energy,13330909.194642823,13330909.194642823,13330909.194642823,13330909.194642821,
Proxy Energy,1073390.0000000629,1073390.0000000629,1073390.0000000629,1073390.0000000629,
Router Energy,834332.9999999987,834332.9999999987,834332.9999999987,834332.9999999987,
Mobile Energy,846449.371000042,846449.371000042,846449.371000042,846449.3710000418,
Execution time,20870289.0,20870289.0,20870289.0,20870289.0,
Delay_1,3108.302163469568,3108.302163469568,3108.302163469568,3108.3021634695674,
Delay_2,5.120000000000536,5.120000000000536,5.120000000000536,5.120000000000536,
MOTION_VIDEO_STREAM,6113.756148127557,6113.756148127557,6113.756148127557,6113.756148127558,
DETECTED_OBJECT,0.1055803571434808,0.1055803571434808,0.1055803571434808,0.1055803571434808,
OBJECT_LOCATION,5.898034468680992,5.898034468680992,5.898034468680992,5.898034468680993,
CAMERA,2.100000000000364,2.100000000000364,2.100000000000364,2.100000000000364,
Cost of execution in cloud,30932.400000010333,30932.400000010333,30932.400000010333,30932.400000010337,
Total network usage,18504.22,18504.22,18504.22,18504.22,
