,1,Min,Max,Avg
Cloud Energy,2693491.30217351,2693491.30217351,2693491.30217351,2693491.30217351,
App_Cloud Energy,354612.33188772877,354612.33188772877,354612.33188772877,354612.33188772877,
Proxy Energy,195907.2443600031,195907.2443600031,195907.2443600031,195907.24436000307,
App_Proxy Energy,131883.39051028175,131883.39051028175,131883.39051028175,131883.39051028175,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Router Energy,0.0,0.0,0.0,0.0,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,235.0,235.0,235.0,235.0,
Delay_1,107.44063740755074,107.44063740755074,107.44063740755074,107.44063740755074,
Delay_2,105.10299999999991,105.10299999999991,105.10299999999991,105.10299999999991,
MOTION_VIDEO_STREAM,2.971809523809452,2.971809523809452,2.971809523809452,2.9718095238094526,
DETECTED_OBJECT,0.2795714285714439,0.2795714285714439,0.2795714285714439,0.2795714285714439,
OBJECT_LOCATION,0.19038020170226716,0.19038020170226716,0.19038020170226716,0.1903802017022672,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,41810.453714272684,41810.453714272684,41810.453714272684,41810.453714272684,
Total network usage,21760.0,21760.0,21760.0,21760.0,
Network usage-based energy,4352000000.0,4352000000.0,4352000000.0,4352000000.0,
UpLink energy of mobile device 12,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
UpLink energy of mobile device 15,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
UpLink energy of mobile device 9,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
UpLink energy of mobile device 6,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
DownLink energy of mobile device 12,3601.799999999999,3601.799999999999,3601.799999999999,3601.799999999999,
DownLink energy of mobile device 15,3601.799999999999,3601.799999999999,3601.799999999999,3601.799999999999,
DownLink energy of mobile device 9,3601.799999999999,3601.799999999999,3601.799999999999,3601.799999999999,
DownLink energy of mobile device 6,3601.799999999999,3601.799999999999,3601.799999999999,3601.799999999999,
Total link energy of device Id : 12,89181.80000000002,89181.80000000002,89181.80000000002,89181.8,
Total link energy of device Id : 15,89181.80000000002,89181.80000000002,89181.80000000002,89181.8,
Total link energy of device Id : 9,89181.80000000002,89181.80000000002,89181.80000000002,89181.8,
Total link energy of device Id : 6,89181.80000000002,89181.80000000002,89181.80000000002,89181.8,
Uplink energy of Proxy 4,16250308.799999598,16250308.799999598,16250308.799999598,16250308.7999996,
Downlink energy of Proxy 4,190001.90000000005,190001.90000000005,190001.90000000005,190001.90000000005,
Total link energy of Proxy 4,16440310.699999591,16440310.699999591,16440310.699999591,16440310.699999591,
Uplink energy of Router 5,313504.0,313504.0,313504.0,313504.0,
Downlink energy of Router 5,3601.799999999999,3601.799999999999,3601.799999999999,3601.799999999999,
Total link energy of Router 5,317105.8,317105.8,317105.8,317105.8,
