,1,Min,Max,Avg
Cloud Energy,2669181.090051023,2669181.090051023,2669181.090051023,2669181.090051023,
App_Cloud Energy,263072.10755101836,263072.10755101836,263072.10755101836,263072.10755101836,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,209917.35060000105,209917.35060000105,209917.35060000105,209917.35060000105,
App_Router Energy,193302.20485714206,193302.20485714206,193302.20485714206,193302.20485714206,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,185.0,185.0,185.0,185.0,
Delay_1,5.3571428571429625,5.3571428571429625,5.3571428571429625,5.357142857142963,
Delay_2,3.1009999999999454,3.1009999999999454,3.1009999999999454,3.1009999999999454,
MOTION_VIDEO_STREAM,2.9571428571427987,2.9571428571427987,2.9571428571427987,2.9571428571427987,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,1.5285714285714675,1.5285714285714675,1.5285714285714675,1.5285714285714675,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,7345.3428571420445,7345.3428571420445,7345.3428571420445,7345.3428571420445,
Total network usage,10973.6,10973.6,10973.6,10973.6,
Network usage-based energy,2194720000.0,2194720000.0,2194720000.0,2194720000.0,
UpLink energy of mobile device 12,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
UpLink energy of mobile device 15,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
UpLink energy of mobile device 9,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
UpLink energy of mobile device 6,85580.00000000001,85580.00000000001,85580.00000000001,85580.00000000001,
DownLink energy of mobile device 12,3801.8999999999987,3801.8999999999987,3801.8999999999987,3801.899999999999,
DownLink energy of mobile device 15,3801.8999999999987,3801.8999999999987,3801.8999999999987,3801.899999999999,
DownLink energy of mobile device 9,3801.8999999999987,3801.8999999999987,3801.8999999999987,3801.899999999999,
DownLink energy of mobile device 6,3801.8999999999987,3801.8999999999987,3801.8999999999987,3801.899999999999,
Total link energy of device Id : 12,89381.90000000002,89381.90000000002,89381.90000000002,89381.90000000002,
Total link energy of device Id : 15,89381.90000000002,89381.90000000002,89381.90000000002,89381.90000000002,
Total link energy of device Id : 9,89381.90000000002,89381.90000000002,89381.90000000002,89381.90000000002,
Total link energy of device Id : 6,89381.90000000002,89381.90000000002,89381.90000000002,89381.90000000002,
