,1,Min,Max,Avg
Cloud Energy,2693927.3652449325,2693927.3652449325,2693927.3652449325,2693927.3652449325,
App_Cloud Energy,356790.6509591585,356790.6509591585,356790.6509591585,356790.6509591585,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
App_Proxy Energy,0.0,0.0,0.0,0.0,
Router Energy,195508.36067999766,195508.36067999766,195508.36067999766,195508.36067999768,
App_Router Energy,130044.20969142858,130044.20969142858,130044.20969142858,130044.20969142858,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,206.0,206.0,206.0,206.0,
Delay_1,107.36258223044048,107.36258223044048,107.36258223044048,107.36258223044048,
Delay_2,105.10299999999991,105.10299999999991,105.10299999999991,105.10299999999991,
MOTION_VIDEO_STREAM,2.9571428571427987,2.9571428571427987,2.9571428571427987,2.9571428571427987,
DETECTED_OBJECT,0.2795714285714439,0.2795714285714439,0.2795714285714439,0.2795714285714439,
OBJECT_LOCATION,0.19041267243635868,0.19041267243635868,0.19041267243635868,0.1904126724363587,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,42428.66971427258,42428.66971427258,42428.66971427258,42428.66971427258,
Total network usage,18965.2,18965.2,18965.2,18965.2,
