,1,Min,Max,Avg
Cloud Energy,2669181.132372451,2669181.132372451,2669181.132372451,2669181.132372451,
App_Cloud Energy,263076.145872447,263076.145872447,263076.145872447,263076.145872447,
Proxy Energy,182190.48740405854,182190.48740405854,182190.48740405854,182190.48740405854,
App_Proxy Energy,70366.19418493951,70366.19418493951,70366.19418493951,70366.19418493951,
Router Energy,195508.36067999766,195508.36067999766,195508.36067999766,195508.36067999768,
App_Router Energy,130044.20969142858,130044.20969142858,130044.20969142858,130044.20969142858,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
App_Mobile Energy,78068.00699999923,78068.00699999923,78068.00699999923,78068.00699999923,
Execution time,203.0,203.0,203.0,203.0,
Delay_1,7.3606376891841405,7.3606376891841405,7.3606376891841405,7.3606376891841405,
Delay_2,5.101999999999925,5.101999999999925,5.101999999999925,5.101999999999925,
MOTION_VIDEO_STREAM,2.9571428571427987,2.9571428571427987,2.9571428571427987,2.9571428571427987,
DETECTED_OBJECT,0.1111607142856883,0.1111607142856883,0.1111607142856883,0.1111607142856883,
OBJECT_LOCATION,1.52933894162488,1.52933894162488,1.52933894162488,1.5293389416248797,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,7345.402857142046,7345.402857142046,7345.402857142046,7345.402857142046,
Total network usage,11130.7,11130.7,11130.7,11130.700000000003,
