,1,Min,Max,Avg
Cloud Energy,3103543.6421427615,3103543.6421427615,3103543.6421427615,3103543.6421427615,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,169419.77099999986,169419.77099999986,169419.77099999986,169419.77099999986,
Execution time,595.0,595.0,595.0,595.0,
Delay_1,107.45784452639393,107.45784452639393,107.45784452639393,107.45784452639391,
Delay_2,105.11199999999992,105.11199999999992,105.11199999999992,105.11199999999992,
MOTION_VIDEO_STREAM,1.4593055683372347,1.4593055683372347,1.4593055683372347,1.4593055683372347,
DETECTED_OBJECT,0.1687605042016404,0.1687605042016404,0.1687605042016404,0.16876050420164038,
OBJECT_LOCATION,1.5892416697872296,1.5892416697872296,1.5892416697872296,1.5892416697872296,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,623150.4799998928,623150.4799998928,623150.4799998928,623150.4799998928,
Total network usage,645795.0,645795.0,645795.0,645795.0,
