,1,Min,Max,Avg
Cloud Energy,2755511.625000023,2755511.625000023,2755511.625000023,2755511.625000023,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,167342.0330000001,167342.0330000001,167342.0330000001,167342.0330000001,
Execution time,247.0,247.0,247.0,247.0,
Delay_1,106.43897409679644,106.43897409679644,106.43897409679644,106.43897409679646,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,0.12264607788628992,0.12264607788628992,0.12264607788628992,0.12264607788628994,
DETECTED_OBJECT,0.11190476190467961,0.11190476190467961,0.11190476190467961,0.11190476190467961,
OBJECT_LOCATION,0.10389883842866939,0.10389883842866939,0.10389883842866939,0.10389883842866939,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,129738.0000000324,129738.0000000324,129738.0000000324,129738.0000000324,
Total network usage,161139.0,161139.0,161139.0,161139.0,
