,1,Min,Max,Avg
Cloud Energy,3177990.0821434064,3177990.0821434064,3177990.0821434064,3177990.082143406,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,172104.74599999972,172104.74599999972,172104.74599999972,172104.74599999972,
Execution time,803.0,803.0,803.0,803.0,
Delay_1,164.09509501548453,164.09509501548453,164.09509501548453,164.09509501548453,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,0.1226190476189307,0.1226190476189307,0.1226190476189307,0.12261904761893068,
DETECTED_OBJECT,0.09999999999990905,0.09999999999990905,0.09999999999990905,0.09999999999990905,
OBJECT_LOCATION,0.15178843907229053,0.15178843907229053,0.15178843907229053,0.15178843907229053,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,728694.8000001974,728694.8000001974,728694.8000001974,728694.8000001974,
Total network usage,1009875.6,1009875.6,1009875.6,1009875.6,
