,1,Min,Max,Avg
Cloud Energy,3178059.4892862644,3178059.4892862644,3178059.4892862644,3178059.4892862644,
Proxy Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Router Energy,166866.59999999995,166866.59999999995,166866.59999999995,166866.59999999995,
Mobile Energy,172091.0029999997,172091.0029999997,172091.0029999997,172091.0029999997,
Execution time,851.0,851.0,851.0,851.0,
Delay_1,163.71397637958304,163.71397637958304,163.71397637958304,163.71397637958304,
Delay_2,105.12999999999995,105.12999999999995,105.12999999999995,105.12999999999995,
MOTION_VIDEO_STREAM,0.1226190476189307,0.1226190476189307,0.1226190476189307,0.12261904761893068,
DETECTED_OBJECT,0.09999999999990905,0.09999999999990905,0.09999999999990905,0.09999999999990905,
OBJECT_LOCATION,0.15178639548252076,0.15178639548252076,0.15178639548252076,0.15178639548252076,
CAMERA,2.099999999999909,2.099999999999909,2.099999999999909,2.099999999999909,
Cost of execution in cloud,728793.2000001973,728793.2000001973,728793.2000001973,728793.2000001973,
Total network usage,1010079.6,1010079.6,1010079.6,1010079.6,
