,1,2,3,4,5,Min,Max,Avg
Cloud Energy,80006222.5346907,80005767.2971907,80006714.8739764,80007769.2418332,80008226.7364762,80005767.3,80008226.74,80006956.39
Proxy Energy,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,5005998,5005998,5005998
Router Energy,6292964.77460273,6292964.77460273,6292964.77460273,6292964.77460273,6292964.77460273,6292964.77,6292964.77,6292964.77
Mobile Energy,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37,5077884.37,5077884.37
Execution time,1592,1481,1637,1558,1639,1481,1639,1575.29
Delay_1,5.35714285713783,5.35714285713783,5.35714285713783,5.35714285713783,5.35714285713783,5.36,5.36,5.36
Delay_2,3.10999999999955,3.10999999999955,3.10999999999955,3.10999999999955,3.10999999999955,3.11,3.11,3.11
MOTION_VIDEO_STREAM,2.95714285714348,2.95714285714348,2.95714285714348,2.95714285714348,2.95714285714348,2.96,2.96,2.96
DETECTED_OBJECT,0.111160714288417,0.111160714288417,0.111160714288417,0.111160714288417,0.111160714288417,0.11,0.11,0.11
OBJECT_LOCATION,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.52857142857101,1.53,1.53,1.53
CAMERA,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.1,2.1,2.1
Cost of execution in cloud,122239.542858344,121594.14285833,122937.542858343,124432.342858306,125080.942858335,121594.14,125080.94,123279.94
Total network usage,11331.12,11252.8533333333,11375.2533333333,11453.4533333333,11473.8533333333,11252.85,11473.85,11373.32
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,80005767.3,80008226.74,80006956.39
,,,,,,5005998,5005998,5005998
,,,,,,6292964.77,6292964.77,6292964.77
,,,,,,5077884.37,5077884.37,5077884.37
,,,,,,1481,1639,1575.29
,,,,,,5.36,5.36,5.36
,,,,,,3.11,3.11,3.11
,,,,,,2.96,2.96,2.96
,,,,,,0.11,0.11,0.11
,,,,,,1.53,1.53,1.53
,,,,,,2.1,2.1,2.1
,,,,,,121594.14,125080.94,123279.94
,,,,,,11252.85,11473.85,11373.32
