,1,2,3,4,5,Min,Max,Avg
Cloud Energy,96404321.8316435,96403633.4144077,96402226.9138427,96401818.9381065,96406449.7521267,"96,401,818.938","96,406,449.752","96,403,817.077"
Proxy Energy,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,"5,005,998.000","5,005,998.000","5,005,998.000"
Router Energy,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,5005998.00000003,"5,005,998.000","5,005,998.000","5,005,998.000"
Mobile Energy,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,5077884.37100288,"5,077,884.371","5,077,884.371","5,077,884.371"
Execution time,27840,30004,28749,28732,28506,"27,840.000","30,004.000","28,810.714"
Delay_1,18338.9257901877,18338.9867349594,18338.9257786832,18338.9257753708,18338.9867434766,"18,338.926","18,338.987","18,338.952"
Delay_2,105.130000000001,105.130000000001,105.130000000001,105.130000000001,105.130000000001,105.130,105.130,105.130
MOTION_VIDEO_STREAM,0.163467261906136,0.130654761904225,0.155952380955569,0.155952382747257,0.122619104957149,0.123,0.163,0.145
DETECTED_OBJECT,0.180069206918542,0.177097522142747,0.163164490891821,0.142624974716575,0.177908969602187,0.143,0.180,0.166
OBJECT_LOCATION,0.140625085149037,0.128571513717231,0.151785714282596,0.15178572226536,0.103571344083191,0.104,0.152,0.133
CAMERA,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.09999999999854,2.100,2.100,2.100
Cost of execution in cloud,23370177.7862894,23369201.8023612,23367207.7762442,23366629.3802626,23373194.58495,"23,366,629.380","23,373,194.585","23,369,462.185"
Total network usage,1101497.24666667,1101497.24666667,1101497.24666667,1101497.24666667,1101497.24666667,"1,101,497.247","1,101,497.247","1,101,497.247"
