,1,2,3,4,5,Min,Max,Avg
Cloud Energy,80255060.6846853,98826804.040051,80261069.05789931,80259943.30789883,80256536.0096845,80255060.6846853,98826804.040051,85563039.68927932,
Proxy Energy,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,5005998.000000033,
Router Energy,6292964.774602732,6292964.774602732,6292964.774602732,6292964.774602732,6292964.774602732,6292964.774602732,6292964.774602732,6292964.774602733,
Mobile Energy,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,5077884.371002884,
Execution time,5069.0,5110.0,5138.0,5221.0,5265.0,5069.0,5265.0,5162.428571428572,
Delay_1,5.357142857154196,5.357142857154196,5.357142857154196,5.357142857154196,5.357142857154196,5.357142857154196,5.357142857154196,5.357142857154195,
Delay_2,3.1099999999995482,3.1099999999995482,3.1099999999995482,3.1099999999995482,3.1099999999995482,3.1099999999995482,3.1099999999995482,3.1099999999995482,
MOTION_VIDEO_STREAM,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,2.957142857143481,
DETECTED_OBJECT,0.11116071428841678,13.252606043406683,0.11116071428841678,0.11116071428841678,0.11116071428841678,0.11116071428841678,13.252606043406683,3.8658593797507783,
OBJECT_LOCATION,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,1.5285714285710128,
CAMERA,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,2.099999999998545,
Cost of execution in cloud,475022.7428616794,26804582.94285684,483540.9428617932,481944.9428618798,477114.34286179213,475022.7428616794,26804582.94285684,8000258.800003216,
Total network usage,45079.41333333333,45518.013333333336,45606.48,45572.41333333333,45252.81333333333,45079.41333333333,45606.48,45387.86095238094,
